target,target_interaction,description,tertiary_rating,pol_prev1,pol_prev2,prev1,prev2,tid,timestamp,tweet_text,annotator,context
Donald Trump,No Mention of Target,"education policy, health care reform, puppies, bikes, and the universe. interested in all, expert in none.",-1,"RT @ajplus: Oh it&#8217;s cool, you guys. No need to fact check tonight. Trump is just yelling WRONG at the woman onstage. &#8211; #Newsbroke",RT @CecileRichards: h/t @voxdotcom for keeping track of this. #debatenight {{link}},"RT @ajplus: This is definitely an historic debate. I mean, there's no doubt we&#8217;ll tell our Canadian grandkids about it one day. - #Newsbroke","RT @ajplus: Oh it&#8217;s cool, you guys. No need to fact check tonight. Trump is just yelling WRONG at the woman onstage. &#8211; #Newsbroke",780590960963092480,9/27/2016 2:12:42,"RT @thinkprogress: Lester Holt follows up on his birther questions, """"What do you say to Americans of color?""""      #debatenight {{link}}",MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Gender & WASH (water, sanitation, & hygiene) champion, head in DC, heart in LA, views are my own",-1,RT @amykellerlaird: The former copy editor and the former beauty editor in me loves this. #debatenight {{link}},"RT @sallykohn: Basically, this is a debate between experience and perspiration.        #debatenight #debate",RT @amykellerlaird: The former copy editor and the former beauty editor in me loves this. #debatenight {{link}},"RT @sallykohn: Basically, this is a debate between experience and perspiration.        #debatenight #debate",788933568844226560,10/20/2016 2:43:15,"RT @FashionweekNYC: """"No one respects women more than I do"""" Later says 'Such a nasty woman'  #DebateNight {{link}}",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,"Grupo Capoeira Brasil-Los Angeles. Also, Fan of music & truly gifted Singer who can Sang!. Disciple of (http://t.co/bsI4m0V5). Looking 4 Joy, whatever that is.",-1,RT @BernieSanders: If Trump is concerned about companies going abroad maybe he should move his plants out of Bangladesh where workers are paid 30 cents an hour,"RT @AfAmDemocrats: &#8220;Do what's necessary...to expose [Trump] for the fraud that he really is"""" -Rep Clyburn   Vote: {{link}} {{link}}",RT @BernieSanders: If Trump is concerned about companies going abroad maybe he should move his plants out of Bangladesh where workers are paid 30 cents an hour,It's amazing how almost every black person I C on Soc. Media thought #BettyShelby was #scapegoat bc she's a woman. Yeah we Blacks are awful.,784518485212889088,10/7/2016 22:19:17,"RT @ananavarro: I stand by my words: """"Donald Trump is a flat out racist"""". I will fight him & what he represents til my last breath. {{link}}",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,We either make ourselves miserable or we make ourselves strong... The amount of work is the same.,-1,RT @BillDixonish: Remember when Donald Trump complained about his mic not working? The universe has a sense of humor.,RT @TheDemocrats: TFW you know you&#8217;re winning #debatenight {{link}},"RT @HillaryClinton: Here's how Trump reacts when he loses an Emmy, the Iowa caucus, a primary, and polls. So yeah, he seems fit for the presidency. #DebateNight {{link}}","RT @politico: .@HillaryClinton: Trump Organization took money from people and """"bought a 6-foot portrait of Donald. I mean, who does that?"""" {{link}}",788934731698085888,10/20/2016 2:47:52,"RT @RomenBorsellino: If you think Trump's mad about not winning an Emmy, wait until Baldwin wins one for playing him",MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Young Professional with a passion for history, politics, cars, and many other things.",-1,"RT @billmaher: #Trump saying """"I called it"""" about the NY/NJ bombing: Donald Trump is the only person besides terrorists who claims credit for terrorism.",RT @andylassner: Donald Jr: I made a Skittles meme and now I'm trending!      Ivanka: Well dad gave me extra hugs today.      Eric: I drank 3 juice boxes really fast,RT @ansonmount: {{link}},"Even though I hate the use if the word retard and retarded, in this case, I believe it's appropriate {{link}}",780812158527561728,9/27/2016 16:51:40,RT @JimmyDonofrio: When it's #debatenight but you stay cool {{link}},MANUAL,FULL INFORMATION
Donald Trump,@Mention,2️⃣4️⃣ Sarcasm at its finest. RN. ♊️,-1,"RT @chrislhayes: Trump: """"Nobody has more respect for women than I do.""""  <<laughter>>","I'll tell you what, if Donald Trump ever touched me I would throw the fuck up, rip his wig off & kick him in his nonexistent balls.",RT @MichaelSkolnik: Hillary is putting Donald Trump out of business tonight. #Debate,#debatenight {{link}},788927983759294466,10/20/2016 2:21:03,"RT @elizabethforma: It's not rigged, @realDonaldTrump. You're losing fair & square. Put on your big-boy pants because this is what accountability looks like.",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,"I am a wife, mother of 3 teen-aged sons, BSF Teaching Leader, and owner of Core Career Consulting, a career coaching firm.",-1,"RT @CNNPolitics: #CNNRealityCheck: Trump on San Bernardino attack: """"Many people saw the bombs all over the apartment.&#8221; That&#8217;s FALSE. {{link}} {{link}}",RT @AP: BREAKING: Emails show Trump advisers waged covert influence campaign for pro-Russian Ukraine government.,@Paul_Kadrmas @jimwallis Amen.  The extreme right is really pro birth rather than pro life.  Jesus is concerned about the womb to the tomb.,@jnicolemorgan @jimwallis @smith_sbc @drmoore I agree Nicole.  Have been proud to see Christianity trump Nationalism: no pun intended!,786944123664203777,10/14/2016 14:57:54,RT @CKuniholm: #EvangelicalsAgainstTrump Speaking out because we must speak truth to Trump & to leaders who claim to speak for God {{link}},MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,"Data, Policy, Urbanism. @NewCollegeofFL Alum. Data Analyst at @Turo.",-1,RT @ForecasterEnten: Yes two polls have Clinton ahead in Florida. Those same two pollsters had her up by significantly more last month.,RT @mattyglesias: Good pinned tweet game from @HillaryClinton {{link}},@rfilmyer @csymrl I can stop complaining about Safari now,How did I miss this &#128591;&#128591;&#128591;&#128591;   {{link}} {{link}},778654966235877376,9/21/2016 17:59:45,RT @Nate_Cohn: Americans totally split on whether    --Trump *was* lying about birtherism   --Trump changed his mind   --Trump is *now* lying {{link}},MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,Father of three wonderful children husband and turkey growing expert.,1,RT @FoxNews: Fox News Poll: 67% say @HillaryClinton is not honest and trustworthy. #SpecialReport {{link}},RT @movement_trump: The Liberal Media is trying its best to destroy Donald Trump. Retweet if he still has your support! {{link}},Volunteer corn that is already growing is a cover crop right?,RT @TimTovell: Yep.   Looks safe to me!!! {{link}},795664567699439617,11/7/2016 16:29:50,RT @Daniel_Ohana: Electrify your Trump sign for instant justice! :-) {{link}},MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,JAGS - Noles - Heat.  Coach K fanboy.  D-Wade enthusiast.  Son of Dad.                             http://t.co/lovHoC9JxK,-1,RT @IraHeatBeat: Udonis Haslem on Donald Trump: 'I don&#8217;t know what locker room he's been in' {{link}},"Trump is a deplorable waste of a body and bones.  And probably some smarts, too.  How anyone could support this man in ANY fashion... wow",RT @IraHeatBeat: Udonis Haslem on Donald Trump: 'I don&#8217;t know what locker room he's been in' {{link}},Quit playin games with my heart  {{link}},785549825001467904,10/10/2016 18:37:27,RT @itskatcombs: Trump writing a term paper:      Sources Cited:   1. You Know It   2. I know It   3. Everybody Knows It,MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,Covering the Eagles and other odds and ends for @PennLive | Bred by @thedbk | Big high-five guy,-1,"RT @Jacob_Klinger_: Steelers respond to Donald Trump's """"locker room talk"""" {{link}} {{link}}",RT @PostBaron: The story behind the @Fahrenthold story on Donald Trump. {{link}},RT @OnThisDayNYT: In the paper #OTD in 1968. Tommie Smith and John Carlos give Black Power salute during Olympics medal ceremony. #nytimes {{link}},A few #Eagles injury updates and notes as Wednesday winds down {{link}},788917579725365249,10/20/2016 1:39:43,RT @OnionPolitics: Tim Kaine Perks Up At Word 'Hombre' #debatenight,MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Arabic & Islamic Studies @Georgetown. Occasional freelancer. Injured climber. عربية، فارسى, franglais.",-1,"RT @JeffreyGoldberg: If there were a Nobel Prize for opening a golf club without discriminating against black people, Trump would be a contender.",RT @fivefifths: Trump just bragged about not banning black people from his establishments,Did Hillary just shimmy?,@Allison_Good1 but all the oil!!!!,780593658554974208,9/27/2016 2:23:25,RT @NoahShachtman: SHOUT   SHOUT    SHOUT   RANT   SHOUT      I HAVE AN AWESOME TEMPERMENT!       #debatenight,MANUAL,FULL INFORMATION
Donald Trump,@Mention,"Bikram yogi, concierge, mum, wife, cook, dog walker, meditator, Twitter/Tumblr-lover!",-1,"RT @juliaioffe: In case the insanity of this is unclear, I repeat: Trump Org had a server designed to secretly, exclusively communicate with a Russian bank.",RT @GaryJanetti: At least seasonally Trump is now the right color.,RT @StefonOn2016: NY's hottest club is Nevermind. It has everything. Emails. The same emails. An FBI director w/ as much credibility as one of my predecessors {{link}},"Sunday starts with @NewYorkYoga hot vinyasa, nice walk, tea in bed while starting @fleabag",795422154468769796,11/7/2016 0:26:34,RT @peterdaou: #HillaryClearedAgain Now we can focus on @realDonaldTrump's upcoming fraud trial.,MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,"NutMeg Creative Cafe: craft, diy, eat, plant, life :)",-1,"RT @Luvvie: This is maddening. The petulant, troglodyte standing next to Hillary should not run a store, let alone a country. #debate","RT @Boss1949: Some people seemed upset that I called @realDonaldTrump a moron, so I wanted to clarify my remarks: He's also an asshole. #ImWithHer",Enter to win @philamuseum package w/membership + dinner for 2 & more by entering the #ArtInsideOut sweepstakes. {{link}},"{{link}} $2,500 Crafter's BEST CHRISTMAS EVER Giveaway {{link}}",791317713834639360,10/26/2016 16:36:59,@DonnyDeutsch thank u for mentioning the bullying mentality associated with Trump &#128530;,MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,I like the Internets,-1,RT @mic: Michelle Obama just nailed everything that's wrong with Trump's rhetoric and behavior in one extremely powerful speech. {{link}},"RT @KeiferLirette: Breaking: Former teen mayor of Partridge, Minnesota seen campaigning for Hillary Clinton. {{link}}","RT @anamariecox: RIGHT SIDE OF HISTORY, MY FRIENDS. {{link}}",RT @mic: Michelle Obama just nailed everything that's wrong with Trump's rhetoric and behavior in one extremely powerful speech. {{link}},787021368638537729,10/14/2016 20:04:51,RT @kumailn: The worst thing Trump did is make people like Mike Pence seem normal & rational.,MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"..hate is easy, love takes courage..",-1,RT @MrJamesonNeat: Just a reminder Donald Trump's upcoming case for raping a 13 year old aspiring model is scheduled for October 14th. {{link}},"RT @CNN: Ex-Trump executive on sexual assault allegations: """"I do believe it. Yes, absolutely. He's a blatant sexist."""" {{link}} {{link}}",Can't wait to road trip to Colorado next week to see my baby sis and meet my niece&#128586;&#128571;&#128118;&#127996;&#128150;&#128024;,"RT @Greenpeace: Today, agro-chemical company #Monsanto go on trial for &#8220;widespread environmental damage&#8221;, but they won't participate {{link}} {{link}}",786956379605045248,10/14/2016 15:46:36,"I wasn't an Obama supporter when he was elected but damnit, I love our president&#10084;&#65039; sad to see him go&#128547; but #ImWithHer",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,"Writer and editor. Strategic PR consultant. Founder, IssueComms. Dad. These are my personal tweets",-1,RT @NateSilver538: At the rate we're going Trump's going to come out for the 3rd debate in a Hannibal Lecter cage.,"RT @NateSilver538: First three fully post-debate national polls have Clinton +5, +4, +3. So I'll daringly assert she might settle into a 3-5 point nat'l lead.","RT @LukeBrinker: Just wow. Here's what the electoral map would look like if only people who wanted it to spell """"hi"""" voted. {{link}}",RT @NateSilver538: At the rate we're going Trump's going to come out for the 3rd debate in a Hannibal Lecter cage.,786530270740492289,10/13/2016 11:33:24,"RT @shannonrwatts: I think what Donald Trump is experiencing right now is called """"extreme vetting."""" {{link}}",MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,NYC Theater Director. Producing Artistic Director of @FullStopTweet & @CapsLockTheatre. Lover of Laughter,-1,RT @NateSilver538: Exclusive @FiveThirtyEight projection on what the Electoral College would look like if women refuse to vote Trump. {{link}},"RT @MariahMacCarthy: """"They haven&#8217;t figured that the women are smarter right now than the men"""" -Donald Trump      No, darling. We have.",updates! - {{link}},"Corruption! Passion! Betrayal! Scrambled Eggs! Can Jack crack Rhyme Town's stickiest murder, or has... {{link}} via @weebly",790775387034947584,10/25/2016 4:41:58,Because tonight was about memories. #flashback #ouryouth #8yearsago #electionnight #6yearsago&#8230; {{link}},MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,,-1,"RT @nytimes: When he told his wife he was going to vote for Donald J. Trump, she hit him with an ultimatum {{link}}","RT @MarlowNYC: Oh my god, this clip of Trump playing beach volleyball... #Rio2016 {{link}}","RT @GreggyBennett: It's uncanny, I am laughing so hard #RHOC {{link}}","@BertstareB follow me so I can DM you, ole buddy ole pal &#128536;",768256554298593280,8/24/2016 1:20:10,RT @jtimberlake: Look WHO DID come over for lunch... Wow. #ImWithHer {{link}},MANUAL,FULL INFORMATION
Donald Trump,@Mention,"M.Ed, MAEL, wife, mother, educator, doterra advocate",1,"RT @ronm0817: @YoungDems4Trump Yep I am afraid so! Gave Hillary tons of air time, and she seemed to know the questions before the debate!","RT @EliasAxxx: @YoungDems4Trump Lester was disgustingly biased. Let's see...no mention of Clinton Foundation, Benghazi. e-mail scandal, lying under oath...","RT @TeamTrump: Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed @realDonaldTrump! #Debates2016 {{link}}",RT @realDonaldTrump: .@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight    {{link}},7.8061E+17,9/27/2016 3:29:40,RT @DanScavino: Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition.    #DebateNight {{link}},MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"I greatly enjoy: Star Trek, social justice, my wife (@kerstynleigh) and my church (@bridgepointeri). Order varies.",-1,"RT @SethMacFarlane: THIS is how a leader acts. It's right there for all to see. Trump can lie all he wants, but the video doesn't.    {{link}}","RT @PolitiFact: LIVE FACT-CHECK: Trump used to sing a different tune about knowing, meeting Vladimir Putin. Read how. {{link}} {{link}}",RT @Pidgejen: same % as #intersex people born everyday &#10084;&#65039; {{link}},@xSushi since you were reppin it last night?,795294919975899136,11/6/2016 16:00:59,RT @thatbloodyMikey: Now There's a Mic drop from Germany worth spreading across the world right now!   #beentheredonethat #ImWithHer {{link}},MANUAL,FULL INFORMATION
